time,U,V
4350,-0.62496376,3.6739416
4356,-2.4984665,1.9472637
4362,-4.1969414,2.0643778
4368,-5.587453,2.8279676
4374,-5.3038816,1.9722664
4380,-5.8689003,-0.42072487
4386,-4.9656487,-1.7747946
4392,-5.7506533,-3.5052137
4398,-5.054528,-1.069212
4404,-3.6443691,-3.2208023
4410,-3.3950596,-0.35841274
4416,0.8756027,-2.2377167
4422,2.4084148,-1.320221
4428,3.6346111,-1.6531782
4434,0.2691908,8.889509
4440,-0.41475296,8.660043
4446,0.64738464,8.963771
4452,1.1747317,7.7819014
4458,0.85688585,7.989402
4464,0.35512382,7.092559
4470,1.7337384,3.9889736
4476,0.85498786,2.540021
4482,0.1640079,2.5802913
4488,0.7848111,0.8689661
4494,-1.5175009,2.4979768
4500,0.52707374,2.3277435
4506,-1.3113909,1.8187361
4512,0.7916031,2.682189
4518,2.956934,2.5277967
4524,1.9580593,1.8671029
4530,-0.11972189,3.7831926
4536,-0.28053308,5.503422
4542,0.19924806,7.359761
4548,1.9052331,9.0873375
4554,3.5970268,9.809949
4560,4.307599,9.018454
4566,4.6007395,5.8234797
4572,3.004652,6.619879
4578,2.0696936,5.910446
4584,3.8869581,5.4984217
4590,3.6418915,3.9576235
4596,2.7187061,2.7388363
4602,1.4641085,2.6364899
4608,1.4484329,2.3274286
4614,3.3457384,1.9434748
4620,4.0357294,-0.7375078
4626,3.859888,0.46029818
4632,4.571987,0.85625243
4638,5.822279,-0.7754097
4644,4.6258583,0.019595027
4650,6.064808,2.6423721
4656,6.928591,3.6510677
4662,7.6935415,0.45495033
4668,5.5684958,1.9448835
4674,6.0689535,4.2397537
4680,5.4701586,2.8036375
4686,5.4120235,1.8930073
4692,3.8612852,2.6617765
4698,5.059244,3.6604815
4704,4.645481,4.5539474
4710,5.4956264,2.2380087
4716,4.4500875,3.6720495
4722,4.190605,3.513197
4728,3.2677698,4.380842
4734,6.4699793,3.4993792
4740,6.384259,3.3356752
4746,5.8887186,3.965231
4752,6.262491,4.116167
4758,7.8050566,4.253667
4764,6.09743,3.4106674
4770,6.6063414,3.8381987
4776,7.0705366,3.06932
4782,7.7207527,2.4756985
4788,6.0398235,2.864644
4794,6.1403103,2.512658
4800,5.491434,2.5559616
4806,5.0574017,1.4895897
4812,3.7447472,1.5217013
4818,2.196392,2.4279938
4824,1.8039231,2.5176773
4830,2.1864843,0.5182499
4836,-0.089129746,-0.6417414
4842,-3.4294777,2.2427864
4848,-3.3499327,0.85198164
4854,-3.9901896,0.31781304
4860,-4.9515314,-1.8078537
4866,-6.5113983,-0.09013343
4872,-5.9869204,0.99972
4878,-3.955266,-1.8377504
4884,-4.9342527,-2.1828575
4890,-6.6173096,0.11436379
4896,-4.884284,0.4376583
4902,-2.9723835,0.44950366
4908,-4.2757015,-2.0791206
4914,-5.148693,0.038221825
4920,-4.377672,1.2397914
4926,-2.194601,0.3033306
4932,-2.9370909,-0.1381579
4938,-3.086441,1.9832847
4944,-0.8440605,-0.20737839
4950,-0.62777585,-1.1436081
4956,-2.80134,-1.1079941
4962,-0.029047012,-2.2985487
4968,1.5228081,-4.6216173
4974,2.1185527,-6.693098
4980,2.3679132,-4.8001814
4986,2.1818628,-5.6760263
4992,3.0320423,-3.0685835
4998,5.0657244,-0.22575569
5004,6.285265,4.5314016
5010,5.518875,8.219452
5016,5.2101803,9.668836
5022,5.616852,8.137927
5028,3.1490536,6.6596184
5034,0.8936281,7.398546
5040,2.138256,6.7529116
5046,0.9527043,2.8885355
5052,-4.4847546,1.6411223
5058,-3.3346796,0.6787071
5064,-5.2037935,-0.36439228
5070,-3.0500317,-1.3428097
5076,-1.835001,-5.2664576
5082,0.5535078,-10.564627
5088,5.3316817,-8.314698
5094,12.170388,-2.232007
5100,14.332649,11.072818
5106,2.9795275,16.412857
5112,-0.86105824,10.834475
5118,-4.555399,5.868372
5124,-4.644844,6.7522106
5130,-4.0493755,6.4731693
5136,-0.9838877,4.194537
5142,-3.1095667,1.0188841
5148,-5.7740784,-0.33422375
5154,-5.755541,0.42529297
5160,-4.762726,-0.11088085
5166,-4.9167767,-2.2766848
5172,-4.740135,0.28111136
5178,-4.2818823,-0.5041981
5184,-3.4534588,0.8064251
5190,-1.406663,-0.30115223
5196,-2.2371063,-0.5707102
5202,-1.8392506,-1.4928446
5208,-1.460432,0.12388229
5214,1.2409675,0.37549877
5220,-0.50539017,2.8923903
5226,1.720111,4.230418
5232,-0.3074417,5.584404
5238,-2.4520903,4.4524813
5244,-4.293581,4.1540413
5250,-1.5988417,4.5277414
5256,-1.7723875,2.8876047
5262,-0.48313236,6.585639
5268,-0.36065388,7.501938
5274,0.9212847,6.805561
5280,-0.6334486,8.346607
5286,0.50551224,7.9383163
5292,-1.9007549,8.004872
5298,1.6215352,7.7440786
5304,1.6591222,8.318713
5310,6.1191635,5.8094244
5316,6.005208,5.0773163
5322,4.3202114,3.3667574
5328,4.9495964,1.9296172
5334,3.43847,-0.92031956
5340,2.1669912,-1.4926538
5346,-0.3775587,-2.1734896
5352,1.0332196,-1.0697727
5358,1.2015486,-3.988985
5364,1.4720097,-4.7417145
5370,1.5859092,-4.651271
5376,4.448524,-3.5242262
5382,7.903754,-3.2823858
5388,9.007971,-4.472742
5394,10.941499,-3.2083921
5400,10.641947,-3.6076088
5406,12.642242,-3.758031
