Date_time,Op_min,Pxfmr_W,Pdc_W,Pgen_W,Damping,Pshore_W,WR_DateTime,WR_corr_EFlux_W/m,WR_corr_Te_s,WR_corr_Hm0_m
20160513_0730,30,484,480,0,21.4,334,20160513_0739,6085,6.75,1.3
20160513_0800,30,521,518,0,21.5,363,20160513_0809,5748,6.62,1.28
20160513_0830,30,451,448,0,21.6,307,20160513_0839,5685,6.99,1.23
20160513_0900,30,409,406,0,21.6,276,20160513_0909,4403,6.6,1.12
20160513_0930,30,436,433,0,21.5,301,20160513_0939,5305,6.91,1.2
20160513_1000,30,406,402,0,21.4,278,20160513_1009,4044,6.55,1.08
20160513_1030,30,391,387,0,21.3,261,20160513_1039,4617,6.79,1.13
20160513_1100,30,321,316,0,21.2,209,20160513_1109,4803,6.86,1.14
20160513_1130,30,301,296,0,21.1,202,20160513_1139,5030,7.03,1.15
20160513_1200,30,289,284,0,21.1,194,20160513_1209,5052,6.97,1.16
20160513_1230,30,330,325,0,21.2,216,20160513_1239,4092,6.81,1.06
20160513_1300,30,335,331,0,21.3,222,20160513_1309,4002,6.79,1.05
20160513_1330,30,322,318,0,21.4,218,20160513_1339,4402,6.94,1.09
20160513_1400,30,348,345,0,21.5,237,20160513_1409,4340,6.91,1.08
20160513_1430,30,310,307,0,21.6,207,20160513_1439,4009,7.1,1.02
20160513_1500,30,287,284,0,21.6,190,20160513_1509,4389,7.01,1.08
20160513_1530,30,267,264,0,21.5,179,20160513_1539,4345,7.05,1.07
20160513_1600,30,306,303,0,21.4,206,20160513_1609,4705,7.22,1.1
20160513_1630,30,272,268,0,21.3,180,20160513_1639,4417,7.2,1.07
20160513_1700,30,270,266,0,21.2,178,20160513_1709,3703,6.93,1
20160513_1730,30,271,266,0,21.1,184,20160513_1739,4254,7.13,1.05
20160513_1800,30,274,269,0,21.1,185,20160513_1809,4872,7.3,1.11
20160513_1830,30,283,278,0,21.2,186,20160513_1839,4098,6.9,1.06
20160513_1900,30,374,369,0,21.3,248,20160513_1909,4120,7.04,1.05
20160513_1930,30,333,329,0,21.4,225,20160513_1939,5228,7.37,1.15
20160513_2000,30,300,296,0,21.5,201,20160513_2009,5026,7.24,1.14
20160513_2030,30,278,274,0,21.6,183,20160513_2039,4189,7.35,1.03
20160513_2100,30,304,301,0,21.6,202,20160513_2109,5394,7.89,1.13
20160513_2130,30,313,309,0,21.5,212,20160513_2139,4421,7.32,1.06
20160513_2200,30,345,341,0,21.4,233,20160513_2209,4748,7.58,1.08
20160513_2230,30,305,301,0,21.3,201,20160513_2239,4227,7.38,1.03
20160513_2300,30,289,284,0,21.2,190,20160513_2309,4545,7.49,1.06
20160513_2330,30,320,315,0,21.1,218,20160513_2339,4914,7.41,1.11
20160514_0000,30,269,263,0,21.1,185,20160514_0009,4666,7.23,1.1
20160514_0030,30,263,258,0,21.2,173,20160514_0039,3607,7.05,0.98
20160514_0100,30,289,285,0,21.3,191,20160514_0109,4036,7.33,1.01
20160514_0130,30,274,270,0,21.4,184,20160514_0139,3621,7.28,0.96
20160514_0200,30,274,270,0,21.5,183,20160514_0209,3725,7.44,0.97
20160514_0230,30,243,239,0,21.6,160,20160514_0239,4518,7.64,1.05
20160514_0300,30,239,236,0,21.6,157,20160514_0309,3534,7.33,0.95
20160514_0330,30,247,243,0,21.5,164,20160514_0339,3941,7.78,0.97
20160514_0400,30,274,270,0,21.4,184,20160514_0409,4579,8.3,1.01
20160514_0430,30,254,250,0,21.3,168,20160514_0439,4968,8.34,1.05
20160514_0500,30,218,213,0,21.2,144,20160514_0509,4317,8.07,0.99
20160514_0530,30,190,185,0,21.1,132,20160514_0539,4266,8.03,0.99
20160514_0600,30,204,199,0,21.1,141,20160514_0609,4400,7.72,1.03
20160514_0630,30,200,195,0,21.2,133,20160514_0639,4003,7.86,0.97
20160514_0700,30,215,212,0,21.3,142,20160514_0709,3195,7.57,0.89
20160514_0730,30,227,223,0,21.4,151,20160514_0739,3977,7.61,0.99
20160514_0800,30,238,235,0,21.5,159,20160514_0809,3401,7.55,0.92
20160514_0830,30,218,215,0,21.6,143,20160514_0839,3695,7.55,0.95
20160514_0900,30,196,193,0,21.6,130,20160514_0909,3650,7.58,0.94
20160514_0930,30,227,224,0,21.5,151,20160514_0939,3636,7.33,0.96
20160514_1000,30,265,261,0,21.4,177,20160514_1009,3497,7.09,0.96
20160514_1030,30,244,241,0,21.3,160,20160514_1039,3573,7.29,0.95
20160514_1100,30,217,213,0,21.2,144,20160514_1109,3452,7.12,0.95
20160514_1130,30,202,197,0,21.1,139,20160514_1139,3622,7.27,0.96
20160514_1200,30,201,197,0,21.1,139,20160514_1209,3455,7.26,0.94
20160514_1230,30,218,213,0,21.2,145,20160514_1239,3287,7.37,0.91
20160514_1300,30,241,237,0,21.3,158,20160514_1309,4049,7.87,0.97
20160514_1330,30,228,225,0,21.4,152,20160514_1339,4131,7.92,0.98
20160514_1400,30,233,230,0,21.5,155,20160514_1409,3691,7.7,0.94
20160514_1430,30,234,231,0,21.6,153,20160514_1439,3484,7.42,0.93
20160514_1500,30,229,226,0,21.6,150,20160514_1509,3537,7.63,0.92
20160514_1530,30,221,218,0,21.5,148,20160514_1539,3598,7.59,0.93
20160514_1600,30,211,208,0,21.4,140,20160514_1609,3462,7.65,0.91
20160514_1630,30,201,197,0,21.3,131,20160514_1639,3963,8.01,0.95
20160514_1700,30,196,191,0,21.2,130,20160514_1709,3156,7.44,0.89
20160514_1730,30,193,189,0,21.1,135,20160514_1739,3086,7.11,0.9
20160514_1800,30,165,161,0,21.1,116,20160514_1809,2850,6.81,0.88
20160514_1830,30,188,184,0,21.2,126,20160514_1839,2599,6.95,0.83
20160514_1900,30,214,210,0,21.3,140,20160514_1909,2871,6.99,0.87
20160514_1930,30,220,217,0,21.4,146,20160514_1939,2917,6.84,0.89
20160514_2000,30,206,202,0,21.5,136,20160514_2009,2933,7.15,0.87
20160514_2030,30,210,207,0,21.6,138,20160514_2039,3486,7.51,0.92
20160514_2100,30,219,215,0,21.6,143,20160514_2109,3023,7.32,0.87
20160514_2130,30,246,242,0,21.5,164,20160514_2139,2971,7.01,0.89
20160514_2200,30,219,215,0,21.4,146,20160514_2209,3112,7.06,0.9
20160514_2230,30,221,217,0,21.3,145,20160514_2239,3267,7.04,0.93
20160514_2300,30,196,191,0,21.2,130,20160514_2309,3049,6.92,0.9
20160514_2330,30,175,170,0,21.1,120,20160514_2339,2709,6.89,0.85
20160515_0000,30,179,174,0,21.1,124,20160515_0009,2758,6.78,0.87
20160515_0030,30,178,173,0,21.2,117,20160515_0039,3010,7.29,0.87
20160515_0100,30,177,173,0,21.3,116,20160515_0109,2564,6.97,0.82
20160515_0130,30,183,179,0,21.4,121,20160515_0139,3075,7.42,0.87
20160515_0200,30,195,191,0,21.5,128,20160515_0209,3006,7.28,0.87
20160515_0230,30,187,183,0,21.6,121,20160515_0239,2602,7.09,0.82
20160515_0300,30,200,196,0,21.6,130,20160515_0309,2925,7.31,0.86
20160515_0330,30,195,191,0,21.5,128,20160515_0339,2773,7.03,0.85
20160515_0400,30,185,181,0,21.4,122,20160515_0409,2850,7.09,0.86
20160515_0430,30,166,161,0,21.3,108,20160515_0439,2940,7.42,0.85
20160515_0500,30,151,147,0,21.2,101,20160515_0509,3416,7.52,0.91
20160515_0530,30,151,146,0,21.1,105,20160515_0539,3236,7.63,0.88
20160515_0600,30,137,133,0,21.1,95,20160515_0609,3091,7.21,0.89
20160515_0630,30,152,148,0,21.2,102,20160515_0639,3016,7.13,0.88
20160515_0700,30,168,164,0,21.3,110,20160515_0709,3123,7.01,0.91
20160515_0730,30,190,187,0,21.4,126,20160515_0739,2970,6.88,0.89
20160515_0800,30,211,208,0,21.5,140,20160515_0809,2935,6.82,0.89
20160515_0830,30,218,214,0,21.6,142,20160515_0839,2713,6.72,0.87
20160515_0900,30,200,196,0,21.6,130,20160515_0909,2920,6.79,0.89
20160515_0930,30,210,207,0,21.5,139,20160515_0939,2992,6.47,0.93
20160515_1000,30,197,194,0,21.4,130,20160515_1009,2654,6.65,0.86
20160515_1030,30,211,208,0,21.3,139,20160515_1039,2547,6.39,0.86
20160515_1100,30,174,170,0,21.2,116,20160515_1109,3459,6.55,0.99
20160515_1130,30,171,168,0,21.1,120,20160515_1139,3512,6.53,1
20160515_1200,30,190,185,0,21.1,132,20160515_1209,3432,6.07,1.03
20160515_1230,30,196,192,0,21.2,131,20160515_1239,3084,6.13,0.97
20160515_1300,30,224,220,0,21.3,147,20160515_1309,3192,6.28,0.98
20160515_1330,30,236,233,0,21.4,156,20160515_1339,3260,6.47,0.97
20160515_1400,30,228,225,0,21.5,151,20160515_1409,2899,6.37,0.92
20160515_1430,30,234,231,0,21.6,154,20160515_1439,2693,6.21,0.91
